ox,oy,oz,ow,ax,ay,az,lx,ly,lz
-0.0609625,0.05042198,0.08187921,0.99349743,0.00026632,0.00133158,0.00066579,-0.01129629,-0.01158259,0.10219568
-0.06043169,0.05025479,0.08190516,0.99353617,-0.00053263,0.00093211,0.00053263,-0.01135231,-0.01150791,0.10224547
-0.05927958,0.05037049,0.07866226,0.99386168,-0.00026632,0.00266316,-0.00066579,-0.01135853,-0.01152658,0.10186581
-0.05912679,0.05037125,0.0769095,0.99400795,0.0,0.00213053,-0.00133158,-0.01118426,-0.01125273,0.10227036
-0.05944256,0.05056114,0.07664047,0.99400026,0.0,0.00106526,-0.00079895,-0.01099755,-0.01146434,0.10186581
-0.05969862,0.05066242,0.07647061,0.99399281,-0.00039947,0.00199737,0.0,-0.01135853,-0.01135231,0.10205875
-0.06065904,0.05042844,0.08064278,0.99361676,0.00133158,0.00332895,0.00079895,-0.01137098,-0.01137098,0.10199652
-0.06122309,0.05006233,0.08284618,0.99341941,-0.00133158,0.0015979,0.00093211,-0.01087307,-0.01132741,0.10180358
-0.06111537,0.05014074,0.08338907,0.99337673,-0.00066579,0.00399474,0.00106526,-0.01161993,-0.01153903,0.10158575
-0.06088039,0.05019627,0.08348782,0.99338001,0.00093211,0.0015979,-0.00013316,-0.01143944,-0.01175064,0.10211477
-0.06001572,0.05010397,0.08171539,0.99358463,-0.00119842,0.00346211,0.00239685,-0.01140832,-0.01146434,0.10194673
-0.05961357,0.05043308,0.07936384,0.99378282,0.00039947,0.00213053,-0.00066579,-0.01137098,-0.01144567,0.10220813
-0.05964842,0.0503586,0.07873382,0.9938345,0.00199737,0.00066579,0.00053263,-0.01127762,-0.0115328,0.10202763
-0.05998544,0.0504913,0.07937928,0.99375623,0.00013316,0.00306264,0.00079895,-0.01125273,-0.01135231,0.10185959
-0.06015808,0.05067009,0.07938062,0.99373651,0.00053263,0.00292948,-0.00119842,-0.01148301,-0.01163238,0.10205253
-0.0597854,0.0507452,0.07767987,0.99388957,-0.00039947,0.00266316,0.00026632,-0.01158259,-0.01173196,0.10189693
-0.05963114,0.05060046,0.07670729,0.99398184,0.00079895,0.00359527,-0.00199737,-0.01136476,-0.01174441,0.10177868
-0.06061516,0.05029765,0.08026247,0.99365687,-0.00119842,0.00253,-0.00106526,-0.01132741,-0.011427,0.10190316
-0.06062383,0.05042089,0.0823107,0.99348253,0.00133158,0.00133158,0.00053263,-0.01148923,-0.01139588,0.10201519
-0.0599627,0.05062644,0.08067551,0.99364626,-0.00013316,0.00199737,0.00186421,-0.01144567,-0.01165728,0.10185959
-0.0596344,0.05067724,0.07882599,0.99381191,-0.00119842,0.00306264,0.00026632,-0.0114021,-0.01141455,0.10217079
-0.05871139,0.05082324,0.07454839,0.99418944,0.00026632,0.00359527,0.00039947,-0.01132119,-0.01180043,0.10248198
-0.05804168,0.05099145,0.06977174,0.99456674,0.00026632,0.00452737,-0.00013316,-0.0112714,-0.01174441,0.10201519
-0.05890595,0.05110972,0.06936482,0.99453831,-0.00079895,0.00106526,0.0,-0.01133986,-0.01169462,0.10213967
-0.06022859,0.05104202,0.07268321,0.99422562,-0.00053263,0.00186421,-0.00013316,-0.01157637,-0.01150168,0.10211477
-0.06036269,0.05085588,0.07407261,0.99412441,0.00053263,0.00319579,-0.00053263,-0.01130252,-0.01152035,0.1023575
-0.05988877,0.05099425,0.07261216,0.99425375,0.00066579,0.00226369,-0.00079895,-0.01165728,-0.01181288,0.10182847
-0.05992676,0.0510304,0.07178131,0.9943099,-0.00026632,0.00439422,-0.00013316,-0.01146434,-0.01164483,0.10161064
-0.06058935,0.05097309,0.0744875,0.99407357,0.00013316,0.00319579,0.0,-0.0112465,-0.01153903,0.10167287
-0.06079178,0.05061649,0.07610992,0.99395651,0.00039947,0.00266316,-0.00039947,-0.01121539,-0.01158882,0.10201519
-0.06152729,0.05049991,0.07959793,0.993644,-0.00079895,0.00239685,0.00173105,-0.0111158,-0.01158882,0.10187204
-0.06169491,0.05029405,0.0821898,0.99343306,0.00053263,0.00146474,0.00013316,-0.01140832,-0.01159504,0.10178491
-0.06158081,0.05036649,0.08317956,0.99335402,-0.00079895,0.00079895,-0.00106526,-0.01146434,-0.01174441,0.1019654
-0.06125852,0.0503836,0.08358546,0.99333906,0.00013316,0.00106526,0.00066579,-0.0115577,-0.01177553,0.10174134
-0.06084251,0.05035911,0.08316649,0.99340093,-0.00146474,0.0015979,0.00013316,-0.01150791,-0.01172574,0.10215834
-0.06038485,0.05047817,0.08221969,0.99350166,-0.00039947,0.00239685,0.00039947,-0.01135231,-0.01153903,0.10195918
-0.06014404,0.05051849,0.08081629,0.99362946,0.00013316,-0.00013316,0.00106526,-0.01136476,-0.01168217,0.10210855
-0.05949222,0.0507173,0.07696803,0.99396402,-0.00133158,0.00079895,0.00146474,-0.01125895,-0.01173819,0.10215834
